?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/BFO_0000147>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat point"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000131>	<http://www.w3.org/2000/01/rdf-schema#label>	"event"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"person"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000210>	<http://www.w3.org/2000/01/rdf-schema#label>	"storage service"@en	
<http://purl.obolibrary.org/obo/IAO_0000300>	<http://www.w3.org/2000/01/rdf-schema#label>	"textual entity"@en	
<http://purl.obolibrary.org/obo/IAO_0000098>	<http://www.w3.org/2000/01/rdf-schema#label>	"data format specification"@en	
<http://purl.obolibrary.org/obo/IAO_0020017>	<http://www.w3.org/2000/01/rdf-schema#label>	"family name"@en	
<http://purl.obolibrary.org/obo/BFO_0000038>	<http://www.w3.org/2000/01/rdf-schema#label>	"one-dimensional temporal region"@en	
<http://edamontology.org/format_3257>	<http://www.w3.org/2000/01/rdf-schema#label>	"Notation3"	
<http://purl.obolibrary.org/obo/IAO_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"information content entity"@en	
<http://purl.obolibrary.org/obo/IAO_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"information content entity"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046>	<http://www.w3.org/2000/01/rdf-schema#label>	"image processing software"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001039>	<http://www.w3.org/2000/01/rdf-schema#label>	"nfdi consortium"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001002>	<http://www.w3.org/2000/01/rdf-schema#label>	"workflow specification"@en	
<http://purl.obolibrary.org/obo/IAO_0000025>	<http://www.w3.org/2000/01/rdf-schema#label>	"programming language"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001019>	<http://www.w3.org/2000/01/rdf-schema#label>	"title"@en	
<http://purl.obolibrary.org/obo/BFO_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001031>	<http://www.w3.org/2000/01/rdf-schema#label>	"contributor list"@en	
<http://purl.obolibrary.org/obo/BFO_0000203>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal instant"@en	
<http://purl.obolibrary.org/obo/IAO_0000590>	<http://www.w3.org/2000/01/rdf-schema#label>	"written name"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001029>	<http://www.w3.org/2000/01/rdf-schema#label>	"document part"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000021>	<http://www.w3.org/2000/01/rdf-schema#label>	"workflow"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000101>	<http://www.w3.org/2000/01/rdf-schema#label>	"service process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001065>	<http://www.w3.org/2000/01/rdf-schema#label>	"software engineering"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000115>	<http://www.w3.org/2000/01/rdf-schema#label>	"contributing process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010012>	<http://www.w3.org/2000/01/rdf-schema#label>	"geoscience"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000026>	<http://www.w3.org/2000/01/rdf-schema#label>	"ontology release version"@en	
<http://purl.obolibrary.org/obo/BFO_0000202>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal interval"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001052>	<http://www.w3.org/2000/01/rdf-schema#label>	"information access specification"@en	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuant"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000100>	<http://www.w3.org/2000/01/rdf-schema#label>	"academic discipline"@en	
<http://purl.obolibrary.org/obo/BFO_0000029>	<http://www.w3.org/2000/01/rdf-schema#label>	"site"@en	
<http://edamontology.org/format_3255>	<http://www.w3.org/2000/01/rdf-schema#label>	"Turtle"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"dataset"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001020>	<http://www.w3.org/2000/01/rdf-schema#label>	"act of foundation"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001010>	<http://www.w3.org/2000/01/rdf-schema#label>	"VIAF identifier"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010011>	<http://www.w3.org/2000/01/rdf-schema#label>	"mathematics"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001037>	<http://www.w3.org/2000/01/rdf-schema#label>	"digital object identifier"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"plan"@en	
<http://purl.obolibrary.org/obo/IAO_0000305>	<http://www.w3.org/2000/01/rdf-schema#label>	"document title"@en	
<http://edamontology.org/format_3749>	<http://www.w3.org/2000/01/rdf-schema#label>	"JSON-LD"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018>	<http://www.w3.org/2000/01/rdf-schema#label>	"academic event"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010021>	<http://www.w3.org/2000/01/rdf-schema#label>	"hackathon"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010038>	<http://www.w3.org/2000/01/rdf-schema#label>	"data visualization process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010001>	<http://www.w3.org/2000/01/rdf-schema#label>	"humanity"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049>	<http://www.w3.org/2000/01/rdf-schema#label>	"workflow management software"@en	
<http://purl.obolibrary.org/obo/BFO_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"spatiotemporal region"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001041>	<http://www.w3.org/2000/01/rdf-schema#label>	"postal code"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000123>	<http://www.w3.org/2000/01/rdf-schema#label>	"data portal"@en	
<http://purl.obolibrary.org/obo/IAO_0000422>	<http://www.w3.org/2000/01/rdf-schema#label>	"postal address"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"specifically dependent continuant"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001043>	<http://www.w3.org/2000/01/rdf-schema#label>	"meeting"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000106>	<http://www.w3.org/2000/01/rdf-schema#label>	"city"@en	
